affiliation_name,year,publication_count,distinct_authors
Andean Bear Fundation,2016,1,1
Andean Bear Fundation,2020,3,1
Andean Bear Fundation,2022,1,1
Andean Birding,2006,1,1
Andean Forest Program,1993,1,1
Andean Forest Program,2003,1,1
Andean Forest Program,2004,1,1
Andean Forest Program,2005,1,1
Andean Forest Program,2011,1,1
Andean Forest Program,2013,1,1
Andean Forest Program,2014,1,1
Andean Forest Program,2015,1,1
Andean Forest Program,2017,3,1
Andean Forest Program,2018,2,1
Andean Forest Program,2019,3,1
Andean Forest Program,2020,3,1
Andean Forest Program,2021,3,1
Andean Forest Program,2022,1,1
Andean Health and Development,2003,1,1
Andean Health and Development,2004,1,1
Andean Health and Development,2008,2,2
Andean Health and Development,2009,1,1
Andean Health and Development,2011,1,2
Andean Health and Development,2013,1,1
Andean Health and Development,2016,1,1
Andean Health and Development,2019,2,2
Andean Health and Development,2021,2,3
Andean University Simon Bolivar,1997,1,1
Andean University Simon Bolivar,2005,3,1
Andean University Simon Bolivar,2009,1,1
Andean University Simon Bolivar,2011,2,2
Andean University Simon Bolivar,2012,1,1
Andean University Simon Bolivar,2015,2,1
Andean University Simon Bolivar,2016,2,1
Andean University Simon Bolivar,2017,1,1
Andean University Simon Bolivar,2019,2,2
Andean University Simon Bolivar,2020,4,3
Andean University Simon Bolivar,2021,7,3
Andean University Simon Bolivar,2022,3,3
Andean University Simón Bolívar,2017,1,1
Andean University of Ecuador,1979,1,1
Andean University of Ecuador,1989,1,1
Andean University of Ecuador,2001,1,1
Andean University of Ecuador,2002,2,1
Andean University of Ecuador,2003,1,1
Andean University of Ecuador,2004,1,1
Andean University of Ecuador,2005,3,1
Andean University of Ecuador,2007,4,1
Andean University of Ecuador,2008,2,1
Andean University of Ecuador,2009,1,1
Andean University of Ecuador,2010,1,1
Andean University of Ecuador,2011,3,1
Andean University of Ecuador,2012,1,1
Andean University of Ecuador,2013,2,1
Andean University of Ecuador,2015,4,1
Andean University of Ecuador,2016,1,1
Andean University of Ecuador,2017,1,1
Andean University of Ecuador,2018,2,1
Andean University of Ecuador,2019,1,1
Andean University of Ecuador,2020,1,1
Andean University of Ecuador,2021,2,2
Andean Water Project of the Internacional de Servicios Publicos (ISP),2012,1,1
Andes Center for Biodiversity Conservation,2006,1,1
Andes Center for Biodiversity Conservation,2008,1,2
Andes Center for Biodiversity Conservation,2009,1,1
Andes Petroleum Company Limited,2020,2,1
Andes Petroleum Company Limited,2021,1,1
Andes Petroleum Ecuador Ltd,2013,1,1
Andes Petroleum Ecuador Ltd.,2017,1,1
Andes Petroleum Ecuador Ltd.,2019,1,1
Andes Petroleum Ecuador Ltd.,2020,5,7
Andes Petroleum Ecuador Ltd.,2021,1,1
AndinaGestión S.A,2020,2,1
AndinaGestión S.A,2021,1,1
AndinaGestión S.A.,2020,2,1
AndinaGestión S.A.,2021,1,1
Anglo Ecuadorian Oil Fields,1971,1,1
Anglo-Ecuadorian Oilfields Ltd,1961,1,1
Anidado del Hospital Básico San Vicente de Paúl de Pasaje,2019,1,1
Animal Diagnostic Laboratory,2018,1,1
Animal Diagnostic Laboratory,2021,2,4
Antón de Sevilla &amp; Nicolás de Rocha,2017,1,1
AquaCEAL Corp. Urb,2021,1,1
AquaCEAL Corp. Urb,2022,1,1
Arboriente S.A.,2018,1,1
Arch-BIO,2021,2,2
Architecture Studio F and E,2021,1,1
Architecture with a Bioclimatic Approach,2019,1,1
Area Salud Borbon - Min. Salud Pub.,2003,2,1
Area Salud Borbon - Min. Salud Pub.,2008,4,1
Area Salud Borbon - Min. Salud Pub.,2014,1,1
Area Salud Borbon - Min. Salud Pub.,2016,1,1
Area Salud Borbon - Min. Salud Pub.,2019,1,1
Area Salud Borbon - Min. Salud Pub.,2020,2,1
Area Salud Borbon - Min. Salud Pub.,2021,1,1
Armada del Ecuador,2016,1,1
Armada del Ecuador,2017,2,1
Armada del Ecuador,2018,14,10
Armada del Ecuador,2022,1,1
Armador del Pirata,2012,1,1
Armed Forces University,2021,1,1
Armed Forces University‐ESPE,2013,2,2
Armed Forces University‐ESPE,2015,5,3
Armed Forces University‐ESPE,2016,1,1
Armed Forces University‐ESPE,2018,2,2
Armed Forces University‐ESPE,2019,1,2
Armed Forces University‐ESPE,2021,1,2
Armed Forces University‐ESPE,2022,2,5
Armenonic Del Ecuador,1997,1,1
